id,module,module_title,module_question,topic,type,difficulty,question,A,B,C,D,answer,answer_text,explanation
13,1,"Supply Chains, Demand Management, and Forecasting",13,demand management,trap,Exam Trap,Which choice is the most common trap when working with demand management?,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,treating every demand signal as equal or guaranteed.,D,treating every demand signal as equal or guaranteed.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For demand management, remember: reconcile demand signals with capacity, supply, and business priorities. Watch for the trap of treating every demand signal as equal or guaranteed."
14,1,"Supply Chains, Demand Management, and Forecasting",14,demand management,metric,Applied,"When using metrics or analysis related to demand management, what is the safest interpretation?",It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,C,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For demand management, remember: reconcile demand signals with capacity, supply, and business priorities. Watch for the trap of treating every demand signal as equal or guaranteed."
15,1,"Supply Chains, Demand Management, and Forecasting",15,demand management,scenario,Scenario,A team is struggling with demand management. What response best reflects CSCP thinking?,Ask each department to create a separate plan so they can move faster.,"reconcile demand signals with capacity, supply, and business priorities and verify the impact through agreed metrics.",Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,B,"reconcile demand signals with capacity, supply, and business priorities and verify the impact through agreed metrics.","The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For demand management, remember: reconcile demand signals with capacity, supply, and business priorities. Watch for the trap of treating every demand signal as equal or guaranteed."
16,1,"Supply Chains, Demand Management, and Forecasting",16,demand shaping,concept,Foundation,Which statement best describes demand shaping in a CSCP context?,"It focuses on activities that influence timing, mix, or volume of demand through pricing, promotions, allocation, or substitution.",It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,A,"It focuses on activities that influence timing, mix, or volume of demand through pricing, promotions, allocation, or substitution.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For demand shaping, remember: use commercial levers to move demand toward available supply or strategic goals. Watch for the trap of using promotions without checking supply or capacity constraints."
17,1,"Supply Chains, Demand Management, and Forecasting",17,demand shaping,best_action,Applied,A supply chain leader is reviewing demand shaping. What is the best next action?,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,use commercial levers to move demand toward available supply or strategic goals.,D,use commercial levers to move demand toward available supply or strategic goals.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For demand shaping, remember: use commercial levers to move demand toward available supply or strategic goals. Watch for the trap of using promotions without checking supply or capacity constraints."
18,1,"Supply Chains, Demand Management, and Forecasting",18,demand shaping,trap,Exam Trap,Which choice is the most common trap when working with demand shaping?,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,using promotions without checking supply or capacity constraints.,Documenting the assumptions used to make the decision.,C,using promotions without checking supply or capacity constraints.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For demand shaping, remember: use commercial levers to move demand toward available supply or strategic goals. Watch for the trap of using promotions without checking supply or capacity constraints."
19,1,"Supply Chains, Demand Management, and Forecasting",19,demand shaping,metric,Applied,"When using metrics or analysis related to demand shaping, what is the safest interpretation?",It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,B,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For demand shaping, remember: use commercial levers to move demand toward available supply or strategic goals. Watch for the trap of using promotions without checking supply or capacity constraints."
20,1,"Supply Chains, Demand Management, and Forecasting",20,demand shaping,scenario,Scenario,A team is struggling with demand shaping. What response best reflects CSCP thinking?,use commercial levers to move demand toward available supply or strategic goals and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,A,use commercial levers to move demand toward available supply or strategic goals and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For demand shaping, remember: use commercial levers to move demand toward available supply or strategic goals. Watch for the trap of using promotions without checking supply or capacity constraints."
21,1,"Supply Chains, Demand Management, and Forecasting",21,forecasting,concept,Foundation,Which statement best describes forecasting in a CSCP context?,It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,"It focuses on estimating future demand using qualitative judgment, quantitative history, or a blend of both.",D,"It focuses on estimating future demand using qualitative judgment, quantitative history, or a blend of both.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For forecasting, remember: select a method that fits data quality, product life cycle, and volatility. Watch for the trap of assuming the forecast is a promise instead of a planning input."
22,1,"Supply Chains, Demand Management, and Forecasting",22,forecasting,best_action,Applied,A supply chain leader is reviewing forecasting. What is the best next action?,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,"select a method that fits data quality, product life cycle, and volatility.",Increase expediting and overtime before validating the root cause.,C,"select a method that fits data quality, product life cycle, and volatility.","The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For forecasting, remember: select a method that fits data quality, product life cycle, and volatility. Watch for the trap of assuming the forecast is a promise instead of a planning input."
23,1,"Supply Chains, Demand Management, and Forecasting",23,forecasting,trap,Exam Trap,Which choice is the most common trap when working with forecasting?,Checking whether the decision supports business strategy.,assuming the forecast is a promise instead of a planning input.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,B,assuming the forecast is a promise instead of a planning input.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For forecasting, remember: select a method that fits data quality, product life cycle, and volatility. Watch for the trap of assuming the forecast is a promise instead of a planning input."
24,1,"Supply Chains, Demand Management, and Forecasting",24,forecasting,metric,Applied,"When using metrics or analysis related to forecasting, what is the safest interpretation?","It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,A,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For forecasting, remember: select a method that fits data quality, product life cycle, and volatility. Watch for the trap of assuming the forecast is a promise instead of a planning input."
25,1,"Supply Chains, Demand Management, and Forecasting",25,forecasting,scenario,Scenario,A team is struggling with forecasting. What response best reflects CSCP thinking?,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,"select a method that fits data quality, product life cycle, and volatility and verify the impact through agreed metrics.",D,"select a method that fits data quality, product life cycle, and volatility and verify the impact through agreed metrics.","The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For forecasting, remember: select a method that fits data quality, product life cycle, and volatility. Watch for the trap of assuming the forecast is a promise instead of a planning input."
26,1,"Supply Chains, Demand Management, and Forecasting",26,qualitative forecasting,concept,Foundation,Which statement best describes qualitative forecasting in a CSCP context?,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,It focuses on judgment-based forecasting used when history is limited or market conditions have changed.,It is mainly a finance-only control that does not affect operations.,C,It focuses on judgment-based forecasting used when history is limited or market conditions have changed.,"The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For qualitative forecasting, remember: use expert input, market intelligence, or customer knowledge when data is weak. Watch for the trap of forcing a statistical model onto poor or nonexistent history."
27,1,"Supply Chains, Demand Management, and Forecasting",27,qualitative forecasting,best_action,Applied,A supply chain leader is reviewing qualitative forecasting. What is the best next action?,Freeze all planning changes permanently to avoid variation.,"use expert input, market intelligence, or customer knowledge when data is weak.",Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,B,"use expert input, market intelligence, or customer knowledge when data is weak.","The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For qualitative forecasting, remember: use expert input, market intelligence, or customer knowledge when data is weak. Watch for the trap of forcing a statistical model onto poor or nonexistent history."
28,1,"Supply Chains, Demand Management, and Forecasting",28,qualitative forecasting,trap,Exam Trap,Which choice is the most common trap when working with qualitative forecasting?,forcing a statistical model onto poor or nonexistent history.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,A,forcing a statistical model onto poor or nonexistent history.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For qualitative forecasting, remember: use expert input, market intelligence, or customer knowledge when data is weak. Watch for the trap of forcing a statistical model onto poor or nonexistent history."
29,1,"Supply Chains, Demand Management, and Forecasting",29,qualitative forecasting,metric,Applied,"When using metrics or analysis related to qualitative forecasting, what is the safest interpretation?",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",D,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For qualitative forecasting, remember: use expert input, market intelligence, or customer knowledge when data is weak. Watch for the trap of forcing a statistical model onto poor or nonexistent history."
30,1,"Supply Chains, Demand Management, and Forecasting",30,qualitative forecasting,scenario,Scenario,A team is struggling with qualitative forecasting. What response best reflects CSCP thinking?,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,"use expert input, market intelligence, or customer knowledge when data is weak and verify the impact through agreed metrics.",Add more inventory or capacity immediately without checking the constraint.,C,"use expert input, market intelligence, or customer knowledge when data is weak and verify the impact through agreed metrics.","The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For qualitative forecasting, remember: use expert input, market intelligence, or customer knowledge when data is weak. Watch for the trap of forcing a statistical model onto poor or nonexistent history."
31,1,"Supply Chains, Demand Management, and Forecasting",31,time series forecasting,concept,Foundation,Which statement best describes time series forecasting in a CSCP context?,It is used only after customer orders have already shipped.,"It focuses on forecasting based on patterns in historical demand such as level, trend, or seasonality.",It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,B,"It focuses on forecasting based on patterns in historical demand such as level, trend, or seasonality.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For time series forecasting, remember: use historical demand patterns when past behavior is still relevant. Watch for the trap of ignoring structural changes in the market or product."
32,1,"Supply Chains, Demand Management, and Forecasting",32,time series forecasting,best_action,Applied,A supply chain leader is reviewing time series forecasting. What is the best next action?,use historical demand patterns when past behavior is still relevant.,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,A,use historical demand patterns when past behavior is still relevant.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For time series forecasting, remember: use historical demand patterns when past behavior is still relevant. Watch for the trap of ignoring structural changes in the market or product."
33,1,"Supply Chains, Demand Management, and Forecasting",33,time series forecasting,trap,Exam Trap,Which choice is the most common trap when working with time series forecasting?,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,ignoring structural changes in the market or product.,D,ignoring structural changes in the market or product.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For time series forecasting, remember: use historical demand patterns when past behavior is still relevant. Watch for the trap of ignoring structural changes in the market or product."
34,1,"Supply Chains, Demand Management, and Forecasting",34,time series forecasting,metric,Applied,"When using metrics or analysis related to time series forecasting, what is the safest interpretation?",It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,C,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For time series forecasting, remember: use historical demand patterns when past behavior is still relevant. Watch for the trap of ignoring structural changes in the market or product."
35,1,"Supply Chains, Demand Management, and Forecasting",35,time series forecasting,scenario,Scenario,A team is struggling with time series forecasting. What response best reflects CSCP thinking?,Ask each department to create a separate plan so they can move faster.,use historical demand patterns when past behavior is still relevant and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,B,use historical demand patterns when past behavior is still relevant and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For time series forecasting, remember: use historical demand patterns when past behavior is still relevant. Watch for the trap of ignoring structural changes in the market or product."
36,1,"Supply Chains, Demand Management, and Forecasting",36,causal forecasting,concept,Foundation,Which statement best describes causal forecasting in a CSCP context?,"It focuses on forecasting demand using independent drivers such as price, income, promotions, or economic indicators.",It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,A,"It focuses on forecasting demand using independent drivers such as price, income, promotions, or economic indicators.","The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For causal forecasting, remember: identify variables that have a meaningful relationship with demand. Watch for the trap of confusing correlation with a reliable cause-and-effect relationship."
37,1,"Supply Chains, Demand Management, and Forecasting",37,causal forecasting,best_action,Applied,A supply chain leader is reviewing causal forecasting. What is the best next action?,Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,identify variables that have a meaningful relationship with demand.,D,identify variables that have a meaningful relationship with demand.,"The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For causal forecasting, remember: identify variables that have a meaningful relationship with demand. Watch for the trap of confusing correlation with a reliable cause-and-effect relationship."
38,1,"Supply Chains, Demand Management, and Forecasting",38,causal forecasting,trap,Exam Trap,Which choice is the most common trap when working with causal forecasting?,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,confusing correlation with a reliable cause-and-effect relationship.,Documenting the assumptions used to make the decision.,C,confusing correlation with a reliable cause-and-effect relationship.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For causal forecasting, remember: identify variables that have a meaningful relationship with demand. Watch for the trap of confusing correlation with a reliable cause-and-effect relationship."
39,1,"Supply Chains, Demand Management, and Forecasting",39,causal forecasting,metric,Applied,"When using metrics or analysis related to causal forecasting, what is the safest interpretation?",It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,B,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For causal forecasting, remember: identify variables that have a meaningful relationship with demand. Watch for the trap of confusing correlation with a reliable cause-and-effect relationship."
40,1,"Supply Chains, Demand Management, and Forecasting",40,causal forecasting,scenario,Scenario,A team is struggling with causal forecasting. What response best reflects CSCP thinking?,identify variables that have a meaningful relationship with demand and verify the impact through agreed metrics.,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,A,identify variables that have a meaningful relationship with demand and verify the impact through agreed metrics.,"The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For causal forecasting, remember: identify variables that have a meaningful relationship with demand. Watch for the trap of confusing correlation with a reliable cause-and-effect relationship."
41,1,"Supply Chains, Demand Management, and Forecasting",41,forecast bias,concept,Foundation,Which statement best describes forecast bias in a CSCP context?,It is mainly a finance-only control that does not affect operations.,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,It focuses on consistent overforecasting or underforecasting over time.,D,It focuses on consistent overforecasting or underforecasting over time.,"The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For forecast bias, remember: measure cumulative error and adjust the process, assumptions, or incentives. Watch for the trap of only looking at absolute error and missing directional bias."
42,1,"Supply Chains, Demand Management, and Forecasting",42,forecast bias,best_action,Applied,A supply chain leader is reviewing forecast bias. What is the best next action?,Push the issue to another function and keep the current metric unchanged.,Freeze all planning changes permanently to avoid variation.,"measure cumulative error and adjust the process, assumptions, or incentives.",Increase expediting and overtime before validating the root cause.,C,"measure cumulative error and adjust the process, assumptions, or incentives.","The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For forecast bias, remember: measure cumulative error and adjust the process, assumptions, or incentives. Watch for the trap of only looking at absolute error and missing directional bias."
43,1,"Supply Chains, Demand Management, and Forecasting",43,forecast bias,trap,Exam Trap,Which choice is the most common trap when working with forecast bias?,Checking whether the decision supports business strategy.,only looking at absolute error and missing directional bias.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,B,only looking at absolute error and missing directional bias.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For forecast bias, remember: measure cumulative error and adjust the process, assumptions, or incentives. Watch for the trap of only looking at absolute error and missing directional bias."
44,1,"Supply Chains, Demand Management, and Forecasting",44,forecast bias,metric,Applied,"When using metrics or analysis related to forecast bias, what is the safest interpretation?","It should be interpreted in the context of service, cost, risk, and process capability.",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,A,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For forecast bias, remember: measure cumulative error and adjust the process, assumptions, or incentives. Watch for the trap of only looking at absolute error and missing directional bias."
45,1,"Supply Chains, Demand Management, and Forecasting",45,forecast bias,scenario,Scenario,A team is struggling with forecast bias. What response best reflects CSCP thinking?,Add more inventory or capacity immediately without checking the constraint.,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,"measure cumulative error and adjust the process, assumptions, or incentives and verify the impact through agreed metrics.",D,"measure cumulative error and adjust the process, assumptions, or incentives and verify the impact through agreed metrics.","The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For forecast bias, remember: measure cumulative error and adjust the process, assumptions, or incentives. Watch for the trap of only looking at absolute error and missing directional bias."
46,1,"Supply Chains, Demand Management, and Forecasting",46,forecast accuracy,concept,Foundation,Which statement best describes forecast accuracy in a CSCP context?,It is a way to eliminate the need for cross-functional planning.,It is used only after customer orders have already shipped.,It focuses on how close the forecast is to actual demand.,It is mainly a finance-only control that does not affect operations.,C,It focuses on how close the forecast is to actual demand.,"The correct answer defines the concept in operational terms and connects it to supply chain decision-making. For forecast accuracy, remember: measure error with MAD, MAPE, or similar metrics and improve the inputs. Watch for the trap of using one accuracy metric without understanding what it hides."
47,1,"Supply Chains, Demand Management, and Forecasting",47,forecast accuracy,best_action,Applied,A supply chain leader is reviewing forecast accuracy. What is the best next action?,Freeze all planning changes permanently to avoid variation.,"measure error with MAD, MAPE, or similar metrics and improve the inputs.",Increase expediting and overtime before validating the root cause.,Push the issue to another function and keep the current metric unchanged.,B,"measure error with MAD, MAPE, or similar metrics and improve the inputs.","The correct answer starts with alignment, facts, and process control instead of jumping straight to heroics. For forecast accuracy, remember: measure error with MAD, MAPE, or similar metrics and improve the inputs. Watch for the trap of using one accuracy metric without understanding what it hides."
48,1,"Supply Chains, Demand Management, and Forecasting",48,forecast accuracy,trap,Exam Trap,Which choice is the most common trap when working with forecast accuracy?,using one accuracy metric without understanding what it hides.,Documenting the assumptions used to make the decision.,Reviewing performance data and assigning owners.,Checking whether the decision supports business strategy.,A,using one accuracy metric without understanding what it hides.,"The trap answer reflects a common exam pattern: choosing a narrow, local, or unmanaged approach instead of end-to-end control. For forecast accuracy, remember: measure error with MAD, MAPE, or similar metrics and improve the inputs. Watch for the trap of using one accuracy metric without understanding what it hides."
49,1,"Supply Chains, Demand Management, and Forecasting",49,forecast accuracy,metric,Applied,"When using metrics or analysis related to forecast accuracy, what is the safest interpretation?",It always proves the lowest-cost option is best.,It eliminates the need for leadership judgment.,It is useful only when every input is perfectly stable.,"It should be interpreted in the context of service, cost, risk, and process capability.",D,"It should be interpreted in the context of service, cost, risk, and process capability.","The correct answer treats metrics as decision support, not magic. CSCP questions usually reward balanced interpretation. For forecast accuracy, remember: measure error with MAD, MAPE, or similar metrics and improve the inputs. Watch for the trap of using one accuracy metric without understanding what it hides."
50,1,"Supply Chains, Demand Management, and Forecasting",50,forecast accuracy,scenario,Scenario,A team is struggling with forecast accuracy. What response best reflects CSCP thinking?,Ignore the exception until month-end reporting.,Ask each department to create a separate plan so they can move faster.,"measure error with MAD, MAPE, or similar metrics and improve the inputs and verify the impact through agreed metrics.",Add more inventory or capacity immediately without checking the constraint.,C,"measure error with MAD, MAPE, or similar metrics and improve the inputs and verify the impact through agreed metrics.","The correct answer addresses the system, clarifies ownership, and uses metrics to verify improvement. For forecast accuracy, remember: measure error with MAD, MAPE, or similar metrics and improve the inputs. Watch for the trap of using one accuracy metric without understanding what it hides."
